id;is_correct;question_id
1;t;1
2;f;1
3;f;1
4;f;1
5;f;2
6;f;2
7;f;2
8;t;2
9;f;3
10;f;3
11;f;3
12;t;3
13;f;4
14;t;4
15;f;4
16;f;4
17;f;5
18;t;5
19;f;5
20;f;5
21;f;6
22;t;6
23;f;6
24;f;6
25;f;7
26;t;7
27;f;7
28;f;7
29;f;8
30;f;8
31;f;8
32;t;8
33;f;9
34;f;9
35;f;9
36;t;9
37;f;9
39;f;10
40;f;10
41;f;10
42;t;10
48;t;12
49;f;12
50;f;12
51;f;12
52;f;12
54;f;13
56;t;13
57;f;13
63;f;15
64;f;15
65;f;15
66;f;15
67;t;15
68;f;16
69;f;16
70;f;16
71;t;16
72;f;16
83;f;19
84;f;19
78;f;18
79;f;18
80;f;18
81;t;18
82;f;18
38;f;10
53;f;13
55;f;13
75;t;17
73;f;17
59;t;14
258;f;54
58;f;14
259;f;54
260;f;54
74;f;17
46;t;11
47;f;11
60;f;14
61;f;14
62;f;14
76;f;17
77;f;17
44;f;11
45;f;11
43;f;11
261;t;54
262;f;54
263;f;55
264;f;55
265;f;55
266;t;55
267;f;55
268;f;56
269;t;56
88;f;20
89;f;20
90;t;20
91;f;20
92;f;20
98;f;22
99;f;22
103;f;23
104;f;23
270;f;56
108;f;24
109;t;24
110;f;24
111;f;24
112;f;24
271;f;56
272;f;56
293;f;61
294;t;61
295;f;61
296;f;61
297;f;61
298;t;62
299;f;62
100;f;22
101;t;22
102;f;22
106;f;23
107;t;23
105;f;23
85;t;19
86;f;19
87;f;19
94;t;21
95;f;21
96;f;21
97;f;21
93;f;21
300;f;62
301;f;62
302;f;62
303;f;63
304;f;63
305;f;63
306;f;63
307;t;63
308;f;64
309;f;64
310;f;64
311;t;64
312;f;64
313;t;65
314;f;65
315;f;65
316;f;65
317;f;65
318;f;66
319;f;66
320;f;66
321;t;66
322;f;66
323;f;67
324;f;67
325;t;67
326;f;67
327;f;67
328;f;68
329;f;68
330;t;68
331;f;68
332;f;68
333;t;69
334;f;69
335;f;69
336;f;69
337;f;69
338;f;70
339;f;70
340;f;70
341;t;70
342;f;70
343;f;71
344;f;71
345;f;71
346;t;71
347;f;71
353;f;73
354;f;73
273;f;57
274;f;57
275;f;57
276;t;57
277;f;57
278;f;58
279;f;58
280;f;58
281;t;58
282;f;58
283;t;59
284;f;59
285;f;59
286;f;59
287;f;59
288;t;60
289;f;60
290;f;60
291;f;60
292;f;60
193;f;41
194;f;41
195;f;41
196;t;41
197;f;41
198;f;42
199;f;42
200;f;42
201;t;42
202;f;42
203;t;43
204;f;43
205;f;43
206;f;43
207;f;43
208;t;44
209;f;44
210;f;44
211;f;44
212;f;44
213;f;45
214;t;45
215;f;45
216;f;45
217;f;45
218;t;46
219;f;46
220;f;46
221;f;46
222;f;46
223;f;47
224;f;47
225;f;47
226;f;47
227;t;47
228;f;48
229;f;48
230;f;48
231;t;48
232;f;48
233;t;49
234;f;49
235;f;49
236;f;49
237;f;49
238;f;50
239;f;50
240;f;50
241;t;50
242;f;50
243;f;51
244;f;51
245;t;51
246;f;51
247;f;51
248;f;52
249;f;52
250;t;52
251;f;52
252;f;52
253;t;53
254;f;53
255;f;53
256;f;53
257;f;53
348;f;72
349;t;72
350;f;72
351;f;72
352;f;72
355;f;73
356;t;73
357;f;73
358;f;74
359;f;74
360;f;74
361;t;74
362;f;74
363;t;75
364;f;75
365;f;75
366;f;75
367;f;75
368;t;76
369;f;76
370;f;76
371;f;76
372;f;76
373;f;77
374;t;77
375;f;77
376;f;77
377;f;77
378;t;78
379;f;78
380;f;78
381;f;78
382;f;78
383;f;79
384;f;79
385;f;79
386;f;79
387;t;79
388;f;80
389;f;80
390;f;80
391;t;80
392;f;80
393;t;81
394;f;81
395;f;81
396;f;81
397;f;81
398;f;82
399;f;82
400;f;82
401;t;82
402;f;82
403;f;83
404;f;83
405;t;83
406;f;83
407;f;83
408;f;84
409;f;84
410;t;84
411;f;84
412;f;84
413;t;85
414;f;85
415;f;85
416;f;85
417;f;85
418;f;86
419;f;86
420;f;86
421;t;86
422;f;86
423;f;87
424;f;87
425;f;87
426;t;87
427;f;87
428;f;88
429;t;88
430;f;88
431;f;88
432;f;88
433;f;89
434;t;89
435;f;89
436;f;89
437;f;90
438;t;90
